"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
235,72,87,76,0,"Base"
235,77,79,79,0,"Base"
245,73,91,81,1,"Base"
236,76,81,79,0,"Base"
238,79,75,84,0,"Base"
230,76,75,79,0,"Base"
246,74,91,81,1,"Base"
232,74,79,79,0,"Base"
234,76,77,81,0,"Base"
232,75,76,81,0,"Base"
227,74,74,79,0,"Base"
226,73,76,77,0,"Base"
231,71,81,79,0,"Base"
247,75,91,81,1,"Base"
224,67,76,81,0,"Base"
238,77,84,77,1,"Base"
224,72,73,79,0,"Base"
232,73,75,84,0,"Base"
226,73,76,77,0,"Base"
229,75,77,77,0,"Base"
234,74,81,79,0,"Base"
235,79,77,79,0,"Base"
234,74,84,76,0,"Base"
237,71,87,79,0,"Base"
239,75,87,77,0,"Base"
236,74,75,87,0,"Base"
228,72,77,79,0,"Base"
231,79,76,76,0,"Base"
234,72,87,75,0,"Base"
229,71,81,77,0,"Base"
225,72,76,77,0,"Base"
233,74,75,84,0,"Base"
235,72,76,87,0,"Base"
223,70,76,77,0,"Base"
233,75,81,77,0,"Base"
236,75,77,84,0,"Base"
227,75,75,77,0,"Base"
232,77,74,81,0,"Base"
231,68,84,79,0,"Base"
231,73,79,79,0,"Base"
227,72,76,79,0,"Base"
227,73,75,79,0,"Base"
228,73,74,81,0,"Base"
230,73,76,81,0,"Base"
234,76,79,79,0,"Base"
242,79,84,79,1,"Base"
227,73,79,75,0,"Base"
236,79,76,81,0,"Base"
236,76,84,76,1,"Base"
230,70,84,76,0,"Base"
230,75,79,76,0,"Base"
232,75,76,81,0,"Base"
259,77,95,87,1,"Base"
237,72,81,84,0,"Base"
225,70,76,79,0,"Base"
233,67,87,79,0,"Base"
234,74,79,81,0,"Base"
234,74,81,79,0,"Base"
232,70,75,87,0,"Base"
223,70,74,79,0,"Base"
251,79,91,81,1,"Base"
226,72,75,79,0,"Base"
235,79,75,81,0,"Base"
229,75,79,75,0,"Base"
225,70,76,79,0,"Base"
230,77,77,76,0,"Base"
228,68,76,84,0,"Base"
241,81,76,84,1,"Base"
239,76,84,79,1,"Base"
226,72,77,77,0,"Base"
226,70,75,81,0,"Base"
240,72,84,84,1,"Base"
229,75,75,79,0,"Base"
227,74,77,76,0,"Base"
225,72,74,79,0,"Base"
224,72,75,77,0,"Base"
225,73,75,77,0,"Base"
237,72,84,81,0,"Base"
228,68,81,79,0,"Base"
238,70,81,87,1,"Base"
224,68,75,81,0,"Base"
256,75,100,81,1,"Base"
234,77,76,81,0,"Base"
231,76,76,79,0,"Base"
223,70,74,79,0,"Base"
231,75,79,77,0,"Base"
234,74,81,79,1,"Base"
227,76,75,76,0,"Base"
224,74,74,76,0,"Base"
227,71,75,81,0,"Base"
228,72,77,79,0,"Base"
236,76,76,84,0,"Base"
226,69,76,81,0,"Base"
241,75,87,79,1,"Base"
229,74,79,76,0,"Base"
237,77,81,79,0,"Base"
227,74,76,77,0,"Base"
223,74,73,76,0,"Base"
224,71,76,77,0,"Base"
235,72,84,79,0,"Base"
234,71,87,76,0,"Base"
244,73,95,76,1,"Base"
233,81,77,75,0,"Base"
238,73,84,81,0,"Base"
239,73,79,87,0,"Base"
239,84,71,84,1,"Base"
236,70,87,79,0,"Base"
228,76,76,76,0,"Base"
234,74,76,84,0,"Base"
231,74,76,81,0,"Base"
233,71,81,81,0,"Base"
249,79,91,79,1,"Base"
230,76,79,75,0,"Base"
225,72,77,76,0,"Base"
241,76,84,81,1,"Base"
250,76,95,79,1,"Base"
239,76,84,79,0,"Base"
241,73,91,77,0,"Base"
228,75,74,79,0,"Base"
241,81,76,84,1,"Base"
230,68,81,81,0,"Base"
231,76,79,76,0,"Base"
244,68,95,81,1,"Base"
235,81,75,79,0,"Base"
224,68,75,81,0,"Base"
224,75,75,74,0,"Base"
246,72,95,79,1,"Base"
230,72,79,79,0,"Base"
236,73,84,79,0,"Base"
226,71,79,76,0,"Base"
237,74,84,79,0,"Base"
225,74,77,74,0,"Base"
229,71,79,79,0,"Base"
227,72,74,81,0,"Base"
226,70,79,77,0,"Base"
256,84,95,77,1,"Base"
245,75,91,79,1,"Base"
227,70,81,76,0,"Base"
233,68,81,84,0,"Base"
228,74,79,75,0,"Base"
240,68,91,81,0,"Base"
218,67,75,76,0,"Base"
246,75,95,76,1,"Base"
243,75,87,81,1,"Base"
238,72,87,79,0,"Base"
234,74,81,79,0,"Base"
243,87,75,81,1,"Base"
224,72,76,76,0,"Base"
229,73,79,77,0,"Base"
236,73,84,79,0,"Base"
234,74,84,76,0,"Base"
233,70,84,79,0,"Base"
227,76,75,76,0,"Base"
234,74,76,84,0,"Base"
238,73,81,84,0,"Base"
227,70,81,76,0,"Base"
242,74,87,81,1,"Base"
232,70,81,81,0,"Base"
239,69,79,91,1,"Base"
223,71,76,76,0,"Base"
229,75,75,79,0,"Base"
221,68,74,79,0,"Base"
228,73,76,79,0,"Base"
226,72,75,79,0,"Base"
225,72,74,79,0,"Base"
232,70,81,81,0,"Base"
239,73,87,79,0,"Base"
226,74,75,77,0,"Base"
232,68,87,77,1,"Base"
235,74,87,74,0,"Base"
237,77,76,84,1,"Base"
242,74,87,81,1,"Base"
220,70,74,76,0,"Base"
229,71,79,79,0,"Base"
230,74,77,79,0,"Base"
241,75,87,79,0,"Base"
228,74,77,77,0,"Base"
223,70,77,76,0,"Base"
234,75,75,84,0,"Base"
229,77,76,76,0,"Base"
223,67,77,79,0,"Base"
229,73,75,81,0,"Base"
243,71,95,77,1,"Base"
223,71,76,76,0,"Base"
224,75,73,76,0,"Base"
232,76,81,75,0,"Base"
237,71,87,79,0,"Base"
224,67,76,81,0,"Base"
227,72,76,79,0,"Base"
232,75,73,84,0,"Base"
238,72,87,79,1,"Base"
228,72,75,81,0,"Base"
230,75,81,74,0,"Base"
240,72,87,81,1,"Base"
245,75,91,79,1,"Base"
241,75,87,79,1,"Base"
236,77,75,84,1,"Base"
223,70,79,74,0,"Base"
234,74,81,79,0,"Base"
229,74,76,79,0,"Base"
237,72,84,81,0,"Base"
227,71,77,79,0,"Base"
236,71,81,84,0,"Base"
237,69,91,77,0,"Base"
239,77,81,81,1,"Base"
233,75,81,77,0,"Base"
228,72,77,79,0,"Base"
222,73,73,76,0,"Base"
236,71,84,81,0,"Base"
235,75,76,84,1,"Base"
239,73,87,79,0,"Base"
231,77,75,79,0,"Base"
243,75,87,81,1,"Base"
237,77,81,79,1,"Base"
225,77,74,74,0,"Base"
233,77,75,81,0,"Base"
225,71,75,79,0,"Base"
225,72,79,74,0,"Base"
236,70,87,79,0,"Base"
231,76,76,79,0,"Base"
245,73,91,81,1,"Base"
231,76,76,79,0,"Base"
226,73,74,79,0,"Base"
226,75,74,77,0,"Base"
225,73,76,76,0,"Base"
234,71,87,76,0,"Base"
227,72,76,79,0,"Base"
231,68,84,79,0,"Base"
232,72,81,79,0,"Base"
241,75,87,79,0,"Base"
226,73,77,76,0,"Base"
225,71,75,79,0,"Base"
234,77,81,76,0,"Base"
232,72,81,79,0,"Base"
230,68,81,81,0,"Base"
225,76,72,77,0,"Base"
246,69,100,77,1,"Base"
222,75,74,73,0,"Base"
222,68,75,79,0,"Base"
225,72,76,77,0,"Base"
239,81,79,79,0,"Base"
231,76,79,76,0,"Base"
234,77,76,81,0,"Base"
229,74,76,79,0,"Base"
227,69,77,81,0,"Base"
240,75,84,81,0,"Base"
234,76,79,79,0,"Base"
221,68,76,77,0,"Base"
229,71,81,77,0,"Base"
228,70,81,77,0,"Base"
224,72,73,79,0,"Base"
222,69,72,81,0,"Base"
235,75,79,81,0,"Base"
228,72,79,77,0,"Base"
236,76,79,81,1,"Base"
243,75,84,84,1,"Base"
225,70,79,76,0,"Base"
234,74,73,87,0,"Base"
231,73,79,79,0,"Base"
236,73,84,79,1,"Base"
223,74,74,75,0,"Base"
249,75,87,87,1,"Base"
223,72,74,77,0,"Base"
233,75,79,79,0,"Base"
230,75,74,81,0,"Base"
232,75,76,81,0,"Base"
236,68,81,87,0,"Base"
227,77,74,76,0,"Base"
233,76,76,81,0,"Base"
232,72,81,79,0,"Base"
226,75,76,75,0,"Base"
227,71,75,81,0,"Base"
230,75,74,81,0,"Base"
235,75,81,79,0,"Base"
229,74,76,79,0,"Base"
226,75,74,77,0,"Base"
244,74,91,79,1,"Base"
226,68,79,79,0,"Base"
228,73,76,79,0,"Base"
231,76,76,79,0,"Base"
230,72,79,79,0,"Base"
226,71,79,76,0,"Base"
227,76,74,77,0,"Base"
219,71,74,74,0,"Base"
221,68,74,79,0,"Base"
239,71,87,81,1,"Base"
240,76,87,77,1,"Base"
240,74,87,79,1,"Base"
233,75,77,81,0,"Base"
240,70,91,79,0,"Base"
248,74,87,87,1,"Base"
260,81,100,79,1,"Base"
240,74,87,79,0,"Base"
241,79,87,75,1,"Base"
229,74,76,79,0,"Base"
230,75,76,79,0,"Base"
227,73,75,79,0,"Base"
235,71,77,87,0,"Base"
228,73,76,79,0,"Base"
240,72,87,81,1,"Base"
227,72,76,79,0,"Base"
221,71,74,76,0,"Base"
226,75,76,75,0,"Base"
224,69,76,79,0,"Base"
227,73,75,79,0,"Base"
233,75,77,81,0,"Base"
237,74,87,76,1,"Base"
227,70,76,81,0,"Base"
234,74,87,73,0,"Base"
240,75,84,81,0,"Base"
224,73,75,76,0,"Base"
233,76,76,81,0,"Base"
226,74,75,77,0,"Base"
225,73,76,76,0,"Base"
248,73,91,84,1,"Base"
254,79,100,75,1,"Base"
249,75,95,79,1,"Base"
228,73,79,76,0,"Base"
223,68,79,76,0,"Base"
222,72,76,74,0,"Base"
234,75,75,84,0,"Base"
236,76,81,79,1,"Base"
225,68,76,81,0,"Base"
