"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
227,74,76,77,0,"Stacked Mixed"
224,73,74,77,0,"Stacked Mixed"
225,72,74,79,0,"Stacked Mixed"
241,81,79,81,0,"Stacked Mixed"
232,77,79,76,0,"Stacked Mixed"
229,76,77,76,0,"Stacked Mixed"
234,74,79,81,0,"Stacked Mixed"
233,81,75,77,0,"Stacked Mixed"
233,76,76,81,0,"Stacked Mixed"
237,74,87,76,0,"Stacked Mixed"
238,72,87,79,0,"Stacked Mixed"
234,81,76,77,0,"Stacked Mixed"
253,87,87,79,1,"Stacked Mixed"
230,79,74,77,0,"Stacked Mixed"
247,79,87,81,1,"Stacked Mixed"
230,72,81,77,0,"Stacked Mixed"
228,74,79,75,0,"Stacked Mixed"
236,76,76,84,0,"Stacked Mixed"
232,74,81,77,0,"Stacked Mixed"
228,72,77,79,0,"Stacked Mixed"
236,76,76,84,1,"Stacked Mixed"
227,75,76,76,0,"Stacked Mixed"
242,87,74,81,1,"Stacked Mixed"
229,74,79,76,0,"Stacked Mixed"
229,74,76,79,0,"Stacked Mixed"
226,76,73,77,0,"Stacked Mixed"
233,76,76,81,0,"Stacked Mixed"
221,74,74,73,0,"Stacked Mixed"
238,76,81,81,1,"Stacked Mixed"
226,74,73,79,0,"Stacked Mixed"
226,76,76,74,0,"Stacked Mixed"
225,74,74,77,0,"Stacked Mixed"
233,81,75,77,0,"Stacked Mixed"
235,77,79,79,0,"Stacked Mixed"
229,76,79,74,0,"Stacked Mixed"
220,68,75,77,0,"Stacked Mixed"
227,76,76,75,0,"Stacked Mixed"
237,79,81,77,0,"Stacked Mixed"
237,74,87,76,0,"Stacked Mixed"
226,77,73,76,0,"Stacked Mixed"
224,74,76,74,0,"Stacked Mixed"
222,73,75,74,0,"Stacked Mixed"
231,79,76,76,0,"Stacked Mixed"
243,75,91,77,1,"Stacked Mixed"
233,81,75,77,0,"Stacked Mixed"
231,74,81,76,0,"Stacked Mixed"
224,72,75,77,0,"Stacked Mixed"
231,76,74,81,0,"Stacked Mixed"
234,81,79,74,0,"Stacked Mixed"
232,72,79,81,0,"Stacked Mixed"
224,72,76,76,0,"Stacked Mixed"
225,77,73,75,0,"Stacked Mixed"
230,79,76,75,0,"Stacked Mixed"
245,87,77,81,1,"Stacked Mixed"
234,74,81,79,0,"Stacked Mixed"
232,79,74,79,0,"Stacked Mixed"
235,75,84,76,0,"Stacked Mixed"
237,79,77,81,1,"Stacked Mixed"
226,74,77,75,0,"Stacked Mixed"
244,77,91,76,1,"Stacked Mixed"
238,84,77,77,0,"Stacked Mixed"
224,76,74,74,0,"Stacked Mixed"
226,74,73,79,0,"Stacked Mixed"
223,75,75,73,0,"Stacked Mixed"
231,77,75,79,0,"Stacked Mixed"
228,79,73,76,0,"Stacked Mixed"
232,72,79,81,0,"Stacked Mixed"
228,74,77,77,0,"Stacked Mixed"
236,81,76,79,0,"Stacked Mixed"
227,72,76,79,0,"Stacked Mixed"
230,77,77,76,0,"Stacked Mixed"
230,77,76,77,0,"Stacked Mixed"
227,77,75,75,0,"Stacked Mixed"
225,73,76,76,0,"Stacked Mixed"
228,74,77,77,0,"Stacked Mixed"
240,77,84,79,0,"Stacked Mixed"
236,81,79,76,0,"Stacked Mixed"
224,76,74,74,0,"Stacked Mixed"
245,77,91,77,0,"Stacked Mixed"
227,75,73,79,0,"Stacked Mixed"
244,84,79,81,1,"Stacked Mixed"
232,79,77,76,0,"Stacked Mixed"
239,76,87,76,1,"Stacked Mixed"
227,72,79,76,0,"Stacked Mixed"
231,77,75,79,0,"Stacked Mixed"
230,81,74,75,0,"Stacked Mixed"
228,74,77,77,0,"Stacked Mixed"
230,72,77,81,0,"Stacked Mixed"
